"date","continent_code","max_stringency_index","max_country_name","min_stringency_index","min_country_name"
20210401,AF,96.3,"Mauritius, Republic of",8.33,"Tanzania, United Republic of"
20210401,AS,85.19,,16.67,
20210401,AS,85.19,"Timor-Leste, Democratic Republic of",16.67,
20210401,AS,85.19,,16.67,
20210401,AS,85.19,"Timor-Leste, Democratic Republic of",16.67,
20210401,AS,85.19,"Timor-Leste, Democratic Republic of",16.67,Lao People's Democratic Republic
20210401,AS,85.19,,16.67,Lao People's Democratic Republic
20210401,EU,87.96,,36.57,Russian Federation
20210401,EU,87.96,,36.57,Russian Federation
20210401,EU,87.96,"Greece, Hellenic Republic",36.57,Russian Federation
20210401,EU,87.96,"Greece, Hellenic Republic",36.57,Russian Federation
20210401,EU,87.96,,36.57,Russian Federation
20210401,EU,87.96,,36.57,Russian Federation
20210401,EU,87.96,"Greece, Hellenic Republic",36.57,Russian Federation
20210401,EU,87.96,"Greece, Hellenic Republic",36.57,Russian Federation
20210401,NA,82.41,"Honduras, Republic of",13.89,"Nicaragua, Republic of"
20210401,OC,62.04,,22.22,"Vanuatu, Republic of"
20210401,OC,62.04,,22.22,"Vanuatu, Republic of"
20210401,OC,62.04,,22.22,New Zealand
20210401,OC,62.04,"Papua New Guinea, Independent State of",22.22,New Zealand
20210401,OC,62.04,,22.22,New Zealand
20210401,OC,62.04,,22.22,"Kiribati, Republic of"
20210401,OC,62.04,"Papua New Guinea, Independent State of",22.22,"Kiribati, Republic of"
20210401,OC,62.04,,22.22,"Kiribati, Republic of"
20210401,OC,62.04,"Papua New Guinea, Independent State of",22.22,"Vanuatu, Republic of"
20210401,SA,87.96,,25.0,
20210401,SA,87.96,,25.0,"Bolivia, Republic of"
20210401,SA,87.96,"Venezuela, Bolivarian Republic of",25.0,"Bolivia, Republic of"
20210401,SA,87.96,"Venezuela, Bolivarian Republic of",25.0,
