"date","continent_code","max_stringency_index","max_country_name","min_stringency_index","min_country_name"
20220401,AF,56.48,,11.11,
20220401,AF,56.48,,11.11,
20220401,AF,56.48,"Seychelles, Republic of",11.11,
20220401,AF,56.48,,11.11,
20220401,AF,56.48,,11.11,
20220401,AF,56.48,"Seychelles, Republic of",11.11,
20220401,AF,56.48,,11.11,
20220401,AF,56.48,,11.11,
20220401,AF,56.48,"Seychelles, Republic of",11.11,
20220401,AF,56.48,,11.11,
20220401,AF,56.48,"Seychelles, Republic of",11.11,"Gabon, Gabonese Republic"
20220401,AF,56.48,,11.11,"Gabon, Gabonese Republic"
20220401,AF,56.48,,11.11,"Gabon, Gabonese Republic"
20220401,AF,56.48,"Seychelles, Republic of",11.11,
20220401,AF,56.48,,11.11,
20220401,AF,56.48,,11.11,
20220401,AF,56.48,"Seychelles, Republic of",11.11,
20220401,AF,56.48,,11.11,
20220401,AF,56.48,,11.11,
20220401,AF,56.48,"Seychelles, Republic of",11.11,
20220401,AF,56.48,,11.11,
20220401,AF,56.48,,11.11,
20220401,AF,56.48,"Seychelles, Republic of",11.11,
20220401,AF,56.48,,11.11,
20220401,AF,56.48,,11.11,
20220401,AF,56.48,"Seychelles, Republic of",11.11,
20220401,AF,56.48,,11.11,
20220401,AF,56.48,,11.11,
20220401,AF,56.48,"Seychelles, Republic of",11.11,
20220401,AF,56.48,,11.11,
20220401,AF,56.48,,11.11,
20220401,AF,56.48,"Seychelles, Republic of",11.11,
20220401,AF,56.48,,11.11,
20220401,AF,56.48,,11.11,
20220401,AF,56.48,"Seychelles, Republic of",11.11,
20220401,AF,56.48,,11.11,
20220401,AS,78.7,"Myanmar, Union of",0.0,Mongolia
20220401,EU,60.16,Ukraine,8.33,
20220401,EU,60.16,Ukraine,8.33,
20220401,EU,60.16,Ukraine,8.33,"Andorra, Principality of"
20220401,NA,59.41,"Dominica, Commonwealth of",8.33,Dominican Republic
20220401,NA,59.41,"Dominica, Commonwealth of",8.33,"Nicaragua, Republic of"
20220401,NA,59.41,"Dominica, Commonwealth of",8.33,
20220401,OC,85.19,"Vanuatu, Republic of",32.42,"Fiji, Republic of the Fiji Islands"
20220401,SA,50.65,"Suriname, Republic of",14.82,"Uruguay, Eastern Republic of"
